published_at,description
2016-09-02,"초보자 스트렝스 루틴(무료 다운) 벤치프레스, 데드리프트, 스쿼트 strengthhttp://goo.gl/ez20go
무료 다운로드 입니다.(무료프로그램) for 파워리프팅
초보자 스트렝스 강화(하체운동)
헬스 초보자를 위한 스트렝스 증가 루틴입니다
위 링크를 통하여 다운로드 받으시면 됩니다(남자는 힘)
squat, deadlift, benchpress"
2016-09-02,"대학생활(스트렝스-strength 루틴 3일차) 파워리프팅 복학생 ep 01madcow 스트렝스 프로그램 3일차!(1w3d)
점점 난이도가 높아져만 갑니다... 모두 화이팅하세요!! (부상조심!!)
스쿼트, 데드리프트, 벤치프레스(파워리프팅 훈련)"
2016-09-05,"살찌는 중, 스트렝스 훈련(3대운동) │파워리프팅 복학생 ep02아침운동이 아직 적응이 안 됐어요... 그래도 운동 시작!
스쿼트, 벤치프레스, 로우 운동을 진행했습니다.(복근운동 포함)
이제 다이어트 식단을 슬슬...
(스트렝스 훈련 - 매드카우) 파워리프팅훈련"
2016-09-07,"3대운동 매드카우 스트렝스 훈련(아침운동 적응시기) 복학생 ep 03매드카우(madcow) 스트렝스 루틴 2주차 5일째입니다. (고중량 저반복 훈련)
스쿼트, 데드리프트,인클라인 벤치프레스(3대운동)을 하였고
데드리프트는 스모데드리프트로 진행하였습니다! 파워리프팅!!
150kg 으로 5회에 처음으로 성공했는데(개인기록) 3주차부터는 어찌 될지...
공복 운동이 적응되니 이제 괜찮아졌네요!
오늘도 운동 화이팅 하시고 좋아요 & 구독! 버튼 꼭 눌러주세요 ㅎㅎ"
2016-09-08,"운동 휴식, 강아지 목욕시키기!(대박이 출연)운동휴식하는 날, 대박이 목욕시킨 영상! 입니다 ㅎㅎ
대박이를 보고 싶어하시는 분들이 꽤 있어서
대박이가 주인공으로 출연합니다.  
자동으로 제 몸상태 업데이트도 되어버렸네요 !
운동은 없지만 시원한 마음으로 시청해주시면 감사드려요 :d

강아지 목욕시키는 법!"
2016-09-09,"3대운동, 스트렝스 훈련, 바디체크(몸상태 업데이트) 복학생ep04매드카우 2주차 6일 영상입니다. 스쿼트 로우 벤치프레스를 진행하여야 하는데 스쿼트 대신 자극운동 몇가지를 진행했고 버피앤점프까지 하였습니다 ㅎㅎㅎ (데드리프트는 하지 않았습니다)
3대운동으로하는 스트렝스 훈련이 전체적인 신체발달에 가장 중요하다는 것을 얼른 깨닫고! 효과적으로 천천히 운동해나가시기를 바랍니다! (squat, deadlift, benchpress)"
2016-09-11,"주말은 가볍게 맨몸운동(대학생활) 복학생ep05간단한 주말 영상! 입니다 ㅎㅎㅎ
스트렝스 훈련을 안 할 때는 이런 가벼운운동을 즐겨 하고 있습니다.
내일 있을 훈련을 위해 무리는 하지 않았습니다
버피 & 점프 : 3x10"
2016-09-12,"3대운동 스트렝스 훈련(데드리프트 개인기록) 복학생 ep06데드리프트 개인기록에 도전해봤습니다!(3대중량 현재 460kg)
운동영상은 3대운동 모두 다뤘고 벤치프레스, 스쿼트, 스모데드리프트 순으로 진행하였습니다.
스트렝스 훈련 마치고 근비대 훈련도 진행했습니다! 다음 영상에 함께 올리도록 할게요 ㅎㅎㅎ"
2016-09-14,"다이어트, 맨몸운동 루틴(홈트 루틴) 복학생 ep07다이어트를  위한 살빼는 맨몸운동 루틴!(홈트 루틴) 입니다.
추석이라 헬스장도 열지 않고 음식은 많이 먹고....
3대운동을 해야 하는데....(스트렝스)
이럴 때 유용히 활용할 수 있는 간단 루틴입니다.
턱걸이 3x10 / 버피테스트(버피앤점프) 3x10 / 걷기 30분
버피테스트 같은 경우에는 운동속도를 증가시키면 증가시킬수록 좋습니다!

bgm으로 노래 이용할 수 있게 허락해주신 mlizumi 님께 감사드립니다
dandan - zard(covered by mlizumi)"
2016-09-19,"가슴운동 루틴(스트렝스 & 근비대) 벤치프레스 복학생 ep08스트렝스와 근비대의 균형을 잡을 수 있는
가슴운동 루틴입니다. 
추가로 이두 운동과 스내치 연습을 담았습니다.
3대 운동 위주로 몸의 균형을 잡으면서 
운동하시길 바랍니다! (3대중량에 집착하지는 않으셔도 돼요 ㅎㅎ)"
2016-09-21,"데드리프트 자세, 데드리프트 하는법(how to deadlift)3대운동 중의 하나인 데드리프트를 따라할 수 있는 방법을 담은 영상입니다.(데드리프트영상)
더 디테일한 사항은 앞으로 천천히 담아서 편집해 볼게요!
우선 초보자 분들이 처음 데드리프트를 할 때 가장 저지르기 쉬운
몇가지 주의사항과 함께 올바른 데드리프트 방법에 대해서
설명을 담아봤습니다.(데드리프트 설명 영상)
데드리프트 자세!(3대운동)"
2016-09-22,"등 자극운동 팁(일상, 브이로그) 복학생 ep 09등운동 루틴에 대해 소개한 영상입니다!
간단한 루틴이므로 참고하시면 도움이 될 것 같습니다 ㅎㅎ
덤벨로우, 바벨로우, 랫풀다운, 티바로우, 풀업, 시티드로우

오늘 하루도 수고하셨고, 건강하게 운동합시다!"
2016-09-23,"어깨 운동법(밀리터리프레스) 복학생 ep10어깨운동루틴을 담았습니다.
추가로 간단한 하체 스쿼트 운동도 넣었습니다.
저는 스쿼트와 어깨 운동을 묶어서 진행하고 있는데
여러분도 따라해보세요 ㅎㅎ
어깨깡패 도전!"
2016-09-25,"간단한 맨몸운동 루틴(홈트 루틴) 복학생 ep12간단한 맨몸운동 루틴에 관한 영상입니다!
푸쉬업20 / 버피15 / 스쿼트15 를 1라운드로 총 5라운드 후에
딥스 15개씩 4세트를 했습니다!
걷기 30분도 했구요 ㅎㅎ
주말은 간단한 맨몸운동 해보세요!"
2016-09-25,"유도 경기 영상(경희대 유도부) 복학생 ep11유도 자유연습 영상을 담았습니다!
웨이트 트레이닝과 더불어 유도도 함께 훈련하고 있어서
신체 밸런스에 굉장히 도움이 많이 되는 것 같아요!"
2016-09-26,"벤치프레스 자세(벤치프레스 하는법) how to benchpress벤치프레스 자세 / 벤치프레스 하는법 / 벤치프레스 방법
how to benchpress
벤치프레스에 대한 질문이 있어서 영상 만들었습니다 ㅎㅎ 참고해주시면 감사해요!
(3대운동, 3대운동방법)"
2016-09-27,"월요일은 가슴운동(일상, 식단) 브이로그 복학생ep13가슴운동(벤치프레스) 루틴을 담았습니다. 간단하지만 강력한 루틴이고
따라하시기 편한 루틴이에요! 그리고 제가 먹은 식단들!도 함께
담았습니다 ㅎㅎㅎ 편하게 감사해주세요
운동루틴, 3대운동,"
2016-09-29,"등운동 루틴(back workout) 복학생 ep14간단한 등운동 루틴을 소개시켜드립니다 ㅎㅎ
등운동은 항상 간단히 진행되어야 합니다!
대신 집중력이 필요하죠 ㅎㅎ 종류는 줄이고 강도를 높이는 것을 추천드립니다!!"
2016-09-30,"미용실 갔다가, 어깨 운동! (밀리터리 프레스, 래터럴레이즈) 복학생 ep15헬스 트레이닝에서 중요한 3대 운동 중 하나인 스쿼트와 함께 어깨 운동을 진행했습니다
횟수와 세트는 운동 부분에 함꼐 표기해놔서 보기 편하실 거예요!
오늘 하루도 수고하셨고 주말 즐겁게 보내시기를!!!!!"
2016-10-02,"스쿼트 10세트(브이로그, 어깨운동) 복학생ep16휴일 일상, 이모네 헬스장에서 가볍게 스쿼트(하체운동) 훈련했습니다!
스쿼트 10회씩 10세트 마치고 어깨운동도 곁들여 주었어요 ㅎㅎ
하이바 풀 스쿼트 연습중이라 스쿼트 무게는 60kg로 진행했습니다."
2016-10-05,"가끔은 술마신 다음날(등운동, 브이로그, 일상) 복학생 ep17가끔은 술도 마시고 노는 날이 있어야겠지요?!
그래도 운동은 빼지말고 꾸준히 해야 합니다! :d
술마시러 가기 전에 운동하는 것도 아주 좋은 보상 방법인 것 같아요.
술마신 다음날에는 강도를 낮게 운동을 하도록 하구요! ^^
데드리프트, 등운동, 허리운동 루틴을 올렸습니다. 영상 참고하시면 좋을 것 같아요. 오늘도 화이팅입니다!!
(10월 3일~10월 5일 일상과 운동을 담은 브이로그영상입니다)"
2016-10-07,"핫도그랑 벤치프레스?!벤치프레스, 가슴운동 루틴을 담은 영상입니다
그리고 함께 대학생활 일상에 대해서도 함께 다뤘어요!
월 수 금 오전에 웨이트 트레이닝을 하고 있고
화 목은 주로 유도를 합니다 :d"
2016-10-10,"스쿼트, 어깨 운동(벌써 겨울... 일상,브이로그) 복학생 ep19스쿼트와 어깨 운동을 담았습니다! 
벌써 겨울이 된 듯 합니다.... (10월의 날씨가....)
운동할 때 주의하셔야 될 것 같아요
저도 오늘은 몸이 굳어 있어서 아침에 스트레칭을 조금 해줬어요ㅎㅎ
다치지 않고, 부상당하지 않고 오래 운동하는 게 최고인 것 같아요!
모두 오늘도 즐거운 월요일 보내시고 화이팅 하시길 바래요!

 - 
(3대운동, 스쿼트, 밀리터리프레스, 래터럴 레이즈, 벌써 겨울)"
2016-10-12,"등운동 박살(데드리프트, 일상, 브이로그) 복학생ep203대운동 중 하나인 데드리프트(스모데드리프트) 위주의 등운동 루틴 영상입니다!
일상도 함께 담아 지루하지 않게 볼 수 있을 것 같아요 ㅎㅎㅎ 
시험기간이라 따로 일상을 많이 담을 순 없지만 최대한 노력해볼게요!
오늘도 모두 화이팅 하시고 득근 하세요 :d
 "
