published_at,description
2016-11-13,"맨몸 운동 루틴(홈트루틴, 스쿼트, 턱걸이, 푸쉬업,  브이로그) 복학생ep35간단한 맨몸 운동 루틴을 다뤄봤어요 
푸쉬업 4x25 / 풀업 4x10 / 스쿼트 4x20 으로 진행했습니다
너무 쉽게 가능하시면 세트수를 더 늘려주시고 
너무 어려우시면 횟수를 줄여주세요! 각 4세트는 유지해 주시는 게 좋을 것 같아요 ㅎㅎ
3대운동 위주의 웨이트를 진행하면서 맨몸운동을 가끔 해주는 이유는 몸의 밸런스 유지를 위함입니다. 그리고 아무리 많은 무게를 들더라도 맨몸운동을 할 때마다 새로운 경험을 하게 됩니다. 몸무게를 다루는 것이 원판의 무게를 다루는 것보다 힘들 때도 있습니다."
2016-11-11,"빼빼로데이(스쿼트, 하체, 일상, 브이로그, 대학생활) 복학생 ep34하체 운동 진행했습니다! 아침운동을 오랜만에 해서 무게를 많이 수행하지는 못하였고 가벼운 무게로 자세 연습많이 했습니다 ㅎㅎ 그리고 어깨 운동도 진행했구요!(다이어트 중이라 유산소도 30분 탔습니다!)
오늘도 함께 출연해준 친구분들께 감사드리고!
시청해주신 여러분 정말 감사드려요!
 -
3대운동 안에 답이 있습니다!! 화이팅"
2016-11-10,"가슴 운동 루틴(갑빠만들기, 먹방, 브이로그) 복학생 ep33간단하지만 충분히 훌륭한 가슴운동 루틴! 입니다. 초보자분들은 벤치프레스 무게를 영상과는 다르게 조금 낮춰서 진행하시기를 바라고 어느 정도 숙달된 강한 분들은 무게를 더 높게 해주세요 ㅎㅎㅎ
3대 운동 위주의 루틴은 분명 장기간 훈련에 있어서 필수적입니다!
절대 눈앞의 목표를 위해서 작은 운동들에 집중하시지 마시고
커다란 나무와도 같은 3대운동에 집중해주세요!
그렇다고 3대 중량에 너무 집착하라는 뜻은 아닙니다 ㅎㅎㅎ
오늘도 즐거운 하루 보내셨기를 바라며!

 - "
2016-11-08,"먹방, 데드리프트, 마라톤 알바(일상생활, 브이로그) 복학생 ep32아주 풍성한 영상으로 찾아왔습니다! ㅎㅎㅎ
대신.. 운동영상은 조금 빈약해요 ㅠㅠㅠ 다음 영상에서는 운동 위주로 올리도록 할게요!
영상은 주말 알바한 내용과 친구들 만난 내용 위주로 담겨있고 마지막에 데드리프트 위주의 등운동과 스쿼트 기록도전이 담겨있습니다. 평소보다 꽤 긴 영상이라 보기 힘들 수도 있지만.... 재밌게 봐주시길 바랍니다! 언제나 운동 화이팅 하시고 부상 조심하세요!
 - "
2016-11-07,"가슴?! 하체?!(운동루틴, 일상, 브이로그) 복학생 ep31가슴운동(벤치프레스) 루틴과 하체(스쿼트), 어깨(밀리터리프레스) 운동루틴에 대한 영상입니다.(3대운동 위주)
그리고 함께 일상도 담았어요 ㅎㅎ 매 영상마다 운동루틴이 비슷한 것 같지만 중량이 조금씩 달라지는 것을 확인하실 수 있을 거예요. 그날 컨디션에 따라 높이기도 하고 낮추기도 하면서 운동을 진행하고 있습니다. 
가슴운동과 하체운동 모두 중요합니다. 어느하나 소홀히 하지 마시고 모두 열심히 해주세요 ㅎㅎㅎ"
2016-11-03,"데드리프트 with 소고기(등운동, 대학생활, 브이로그) 복학생ep30등허리 운동을 진행했습니다. 3대운동 중 하나인 데드리프트 위주의 운동을 진행했는데 오늘은 약간의 스내치 동작도 해봤습니다 ㅎㅎㅎ
등허리 운동 루틴으로 꽤 쓸만하니  운동에 도움되셨으면 좋겠습니다 
아! 어머니는 아직 조금 더 상황을 지켜봐야되지만 괜찮으신 것 같습니다! 걱정해주신분들 정말 감사드립니다!

오늘도 화이팅!!!!!! 
 - "
2016-11-01,"본격적 운동 시작(스쿼트, 어깨, 브이로그, 일상) 복학생 ep29본격적으로 다시 운동에 들어갑니다!
유도 대회도 얼마 남지 않았기 때문에
웨이트 훈련과 유도 훈련 모두에 집중해야 할 때가 됐어요 ㅎㅎㅎ
몸무게도 현재 75kg 에서 72kg 정도까지 빼야하구요...

오늘의 운동은 스쿼트위주의 하체운동과 밀리터리프레스(오버헤드프레스) 위주의 어깨 운동을 진행했습니다(3대운동이 가장 중요합니다!)
시간이 부족하여 보조 운동들은 아주 조금밖에 못했어요ㅠㅠ
다음영상부턴 풍성하게 하도록 할게요!"
2016-09-30,"미용실 갔다가, 어깨 운동! (밀리터리 프레스, 래터럴레이즈) 복학생 ep15헬스 트레이닝에서 중요한 3대 운동 중 하나인 스쿼트와 함께 어깨 운동을 진행했습니다
횟수와 세트는 운동 부분에 함꼐 표기해놔서 보기 편하실 거예요!
오늘 하루도 수고하셨고 주말 즐겁게 보내시기를!!!!!"
2016-09-29,"등운동 루틴(back workout) 복학생 ep14간단한 등운동 루틴을 소개시켜드립니다 ㅎㅎ
등운동은 항상 간단히 진행되어야 합니다!
대신 집중력이 필요하죠 ㅎㅎ 종류는 줄이고 강도를 높이는 것을 추천드립니다!!"
2016-09-27,"월요일은 가슴운동(일상, 식단) 브이로그 복학생ep13가슴운동(벤치프레스) 루틴을 담았습니다. 간단하지만 강력한 루틴이고
따라하시기 편한 루틴이에요! 그리고 제가 먹은 식단들!도 함께
담았습니다 ㅎㅎㅎ 편하게 감사해주세요
운동루틴, 3대운동,"
